id,src_id,paper_id,paper_citation_APA,paper_doi,study_source,latitude,longitude,year,cropping_system_category,cropping_system_classification,CC_species,CC_types,cash_crop_specices,cash_crop_specices2,co2_cc,co2_cc_sd,co2_no_cc,co2_no_cc_sd,co2_n,co2_unit,tillage,residue_management,SOC_initial,SOC_initial_Unit,n2o_cc,n2o_no_cc,n2o_cc_sd,n2o_no_cc_sd,n2o_unit,FerStatus,N_fertilization,N_fertilization_unit,ch4_cc,ch4_no_cc,ch4_cc_sd,ch4_no_cc_sd,ch4_unit,duplicated_src,country,Trail/Commercial,region_state,specific_location,alt_m,soil_texture,prep,tem,dryland/non dryland,mixture_types,mixture_propotion,CC_plant_date,CC_end_date,CC.days,CC.duration,CC.aid,CC_plant_type,CC_plant_rate,CC_end_type,Plot_Area_ha,replications,nextMC_plant_date,MC_end_date,MC.days,MC _history,cash_crop_type,GHG-season,samplesize,SD,management combination,Initial_SOC,Initial_C_unit,Initial_TC,Initial_TN,Unnamed: 73,irrigation,irrigation_mm,BD,BD_unit,CEC,pH,soil_no3,soil_no3_unit,soil_nh4,soil_nh4_unit,soilTexture,TopographicalPosition,soilMoisture,soilMoisture_unite,WFPS,soilTem,cc_Dry_Biomass,ccBiomass_raw,CN_ratio,ccResidualsInput,cash_crop_season,manul checked & revised
27,32,40,"Parkin, T.B., Kaspar, T.C., Jaynes, D.B., Moorman, T.B., 2016. Rye Cover Crop Effects on Direct and Indirect Nitrous Oxide Emissions. Soil Science Society of America Journal 80, 1551-1559.",https://doi.org/10.2136/sssaj2016.04.0120,3,42.05,-93.71,2007.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Winter Rye,non-legume,Soybean,,,,,,,,nt,incorporated,24.5, g/kg,5.35,4.18,1.7,0.48,,no,0,kg N ha−1,,,,,,y,USA,no sure,Iowa,"Iowa, Ames",,Clay Loam,816.0,9.5,,,,2007-09-28,2008-04-29,214.0,4.0,,broadcast seeded,2.5 × 10 6 seeds ha−1,herbicide_glyphosate,0.126,4.0,2008-05-14,2008-10-28 00:00:00,167.0,,,,3,0.01,,24.5, g/kg,,1.9,,,,,,,,,,,,,,,,,,,,,,,
28,34,40,"Parkin, T.B., Kaspar, T.C., Jaynes, D.B., Moorman, T.B., 2016. Rye Cover Crop Effects on Direct and Indirect Nitrous Oxide Emissions. Soil Science Society of America Journal 80, 1551-1559.",https://doi.org/10.2136/sssaj2016.04.0120,3,42.05,-93.71,2008.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Winter Rye,non-legume,Corn,,,,,,,,ct,,24.5, g/kg,8.3,6.91,0.99,0.75,,yes,167,kg N ha−1,,,,,,y,USA,no sure,Iowa,"Iowa, Ames",,Clay Loam,816.0,9.5,,,,2008-10-29,2009-05-21,204.0,5.0,,broadcast seeded,2.5 × 10 6 seeds ha−1,herbicide_glyphosate,0.126,4.0,2009-05-22,2009-09-28 00:00:00,129.0,,,,3,0.01,,24.5, g/kg,,1.9,,,,,,,,,,,,,,,,,,,,,,,
29,36,40,"Parkin, T.B., Kaspar, T.C., Jaynes, D.B., Moorman, T.B., 2016. Rye Cover Crop Effects on Direct and Indirect Nitrous Oxide Emissions. Soil Science Society of America Journal 80, 1551-1559.",https://doi.org/10.2136/sssaj2016.04.0120,3,42.05,-93.71,2009.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Winter Rye,non-legume,Soybean,,,,,,,,nt,incorporated,24.5, g/kg,6.94,5.41,2.74,0.66,,no,0,kg N ha−1,,,,,,y,USA,no sure,Iowa,"Iowa, Ames",,Clay Loam,840.0,9.5,,,,2009-09-28,2010-04-19,203.0,6.0,,broadcast seeded,2.5 × 10 6 seeds ha−1,herbicide_glyphosate,0.126,4.0,2010-04-11,2010-09-16 00:00:00,158.0,,,,3,0.01,,24.5, g/kg,,1.9,,,,,,,,,,,,,,,,,,,,,,,
30,38,40,"Parkin, T.B., Kaspar, T.C., Jaynes, D.B., Moorman, T.B., 2016. Rye Cover Crop Effects on Direct and Indirect Nitrous Oxide Emissions. Soil Science Society of America Journal 80, 1551-1559.",https://doi.org/10.2136/sssaj2016.04.0120,3,42.05,-93.71,2010.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Winter Rye,non-legume,Corn,,,,,,,,nt,,24.5, g/kg,12.5,9.99,1.39,3.28,,yes,170,kg N ha−1,,,,,,y,USA,no sure,Iowa,"Iowa, Ames",,Clay Loam,979.0,9.5,,,,2010-09-17,2011-05-07,232.0,7.0,,broadcast seeded,2.5 × 10 6 seeds ha−1,herbicide_glyphosate,0.126,4.0,2011-05-18,2011-09-29 00:00:00,134.0,,,,3,0.01,,24.5, g/kg,,1.9, g/kg,rainfed,,,,,6.658,,,,,,,,,,,1000.0,Mg ha−1,12.89473684,,,
31,40,40,"Parkin, T.B., Kaspar, T.C., Jaynes, D.B., Moorman, T.B., 2016. Rye Cover Crop Effects on Direct and Indirect Nitrous Oxide Emissions. Soil Science Society of America Journal 80, 1551-1559.",https://doi.org/10.2136/sssaj2016.04.0120,3,42.05,-93.71,2011.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Winter Rye,non-legume,Soybean,,,,,,,,nt,incorporated,24.5, g/kg,4.01,3.33,2.6,0.75,,no,0,kg N ha−1,,,,,,y,USA,no sure,Iowa,"Iowa, Ames",,Clay Loam,599.0,9.5,,,,2011-09-30,2012-04-17,200.0,8.0,,broadcast seeded,2.5 × 10 6 seeds ha−1,herbicide_glyphosate,0.126,4.0,2012-05-04,2012-09-26 00:00:00,145.0,,,,3,0.01,,24.5, g/kg,,1.9, g/kg,rainfed,,,,,6.658,,,,,,,,,,,3000.0,Mg ha−1,12.89473684,,,
32,42,40,"Parkin, T.B., Kaspar, T.C., Jaynes, D.B., Moorman, T.B., 2016. Rye Cover Crop Effects on Direct and Indirect Nitrous Oxide Emissions. Soil Science Society of America Journal 80, 1551-1559.",https://doi.org/10.2136/sssaj2016.04.0120,3,42.05,-93.71,2012.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Winter Rye,non-legume,Corn,,,,,,,,nt,,24.5, g/kg,2.3,2.41,0.91,1.04,,yes,196,kg N ha−1,,,,,,y,USA,no sure,Iowa,"Iowa, Ames",,Clay Loam,506.0,9.5,,,,2012-09-04,2013-05-13,251.0,9.0,,broadcast seeded,2.5 × 10 6 seeds ha−1,herbicide_glyphosate,0.126,4.0,2013-05-23,2013-10-19 00:00:00,149.0,,,,3,0.01,,24.5, g/kg,,1.9, g/kg,rainfed,,,,,6.658,,,,,,,,,,,2000.0,Mg ha−1,12.89473684,,,
33,44,40,"Parkin, T.B., Kaspar, T.C., Jaynes, D.B., Moorman, T.B., 2016. Rye Cover Crop Effects on Direct and Indirect Nitrous Oxide Emissions. Soil Science Society of America Journal 80, 1551-1559.",https://doi.org/10.2136/sssaj2016.04.0120,3,42.05,-93.71,2013.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Winter Rye,non-legume,Soybean,,,,,,,,nt,incorporated,24.5, g/kg,1.54,1.02,0.62,0.06,,no,0,kg N ha−1,,,,,,y,USA,no sure,Iowa,"Iowa, Ames",,Clay Loam,737.0,9.5,,,,,,,,,,,,,,,,,,,,3,0.01,,24.5, g/kg,,1.9, g/kg,rainfed,,,,,6.658,,,,,,,,,,,1000.0,Mg ha−1,12.89473684,,,
40,48,29,"Carvalho, A.M.D., Bustamante, M.M.D.C., Coser, T.R., Marchão, R.L. and Malaquias, J.V., 2016. Nitrogen oxides and CO2 from an Oxisol cultivated with corn in succession to cover crops. Pesquisa agropecuária brasileira, 51(9), pp.1213-1222.",https://doi.org/10.1590/S0100-204X2016000900021,1,-15.65,-47.73,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Sunn hemp,Sunn hemp,legume,Corn,,20.1,,16.3,,,,nt,not incorporated,,,0.7,0.9,,,,yes,Yes_mc fer,,,,,,,,Brazil,,Planaltina,,,Clay,468.7,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,49,29,"Carvalho, A.M.D., Bustamante, M.M.D.C., Coser, T.R., Marchão, R.L. and Malaquias, J.V., 2016. Nitrogen oxides and CO2 from an Oxisol cultivated with corn in succession to cover crops. Pesquisa agropecuária brasileira, 51(9), pp.1213-1222.",https://doi.org/10.1590/S0100-204X2016000900021,1,-15.65,-47.73,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Mucuna pruriens,Mucuna pruriens,legume,Corn,,24.2,,16.3,,,,nt,not incorporated,,,1.0,0.9,,,,yes,Yes_mc fer,,,,,,,,Brazil,,Planaltina,,,Clay,468.7,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,50,29,"Carvalho, A.M.D., Bustamante, M.M.D.C., Coser, T.R., Marchão, R.L. and Malaquias, J.V., 2016. Nitrogen oxides and CO2 from an Oxisol cultivated with corn in succession to cover crops. Pesquisa agropecuária brasileira, 51(9), pp.1213-1222.",https://doi.org/10.1590/S0100-204X2016000900021,1,-15.65,-47.73,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Sunn hemp,Sunn hemp,legume,Corn,,18.8,,14.7,,,,ct,incorporated,,,0.9,0.5,,,,yes,Yes_mc fer,,,,,,,,Brazil,,Planaltina,,,Clay,468.7,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,51,29,"Carvalho, A.M.D., Bustamante, M.M.D.C., Coser, T.R., Marchão, R.L. and Malaquias, J.V., 2016. Nitrogen oxides and CO2 from an Oxisol cultivated with corn in succession to cover crops. Pesquisa agropecuária brasileira, 51(9), pp.1213-1222.",https://doi.org/10.1590/S0100-204X2016000900021,1,-15.65,-47.73,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Mucuna pruriens,Mucuna pruriens,legume,Corn,,18.5,,14.7,,,,ct,incorporated,,,0.9,0.5,,,,yes,Yes_mc fer,,,,,,,,Brazil,,Planaltina,,,Clay,468.7,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,56,41,"Thomas, B., Hao, X., Larney, F., Goyer, C., Chantigny, M., Charles, A., 2017. Non-legume cover crops can increase non-growing season nitrous oxide emissions. Soil Science Society of America Journal 81, 189–199.",https://doi.org/10.2136/sssaj2016.08.0269,1,49.63,-112.8,2013.0,Temperate upland annual cropland,Canada – Northern European/Canadian temperate arable,Oilseed Radish,non-legume,Spring Wheat,,,,,,,,t,,,,1.3766666666666667,1.8699999999999999,,,g N ha–1 d–1,yes,100,kg total N ha–1 manure,,,,,,,Canada,Trail,,Agriculture and Agri-Food Canada Lethbridge Research and Development Centre near Lethbridge,929.0,Clay Loam,929.0,5.9,,,,2013-09-16,,,1.0,yes (irrigate+replant),,7.8 kg seed ha–1 ,,0.04,4.0,,,,,,fall-spring,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,57,41,"Thomas, B., Hao, X., Larney, F., Goyer, C., Chantigny, M., Charles, A., 2017. Non-legume cover crops can increase non-growing season nitrous oxide emissions. Soil Science Society of America Journal 81, 189–199.",https://doi.org/10.2136/sssaj2016.08.0269,1,49.63,-112.8,2013.0,Temperate upland annual cropland,Canada – Northern European/Canadian temperate arable,Rye,non-legume,Spring Wheat,,,,,,,,t,,,,1.8833333333333335,1.8699999999999999,,,g N ha–1 d–1,yes,100,kg total N ha–1 manure,,,,,,,Canada,Trail,,Agriculture and Agri-Food Canada Lethbridge Research and Development Centre near Lethbridge,929.0,Clay Loam,929.0,5.9,,,,2013-08-30,,,1.0,yes (irrigate),, 90 kg seed ha–1 ,,0.04,4.0,,,,,,fall-spring,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,58,41,"Thomas, B., Hao, X., Larney, F., Goyer, C., Chantigny, M., Charles, A., 2017. Non-legume cover crops can increase non-growing season nitrous oxide emissions. Soil Science Society of America Journal 81, 189–199.",https://doi.org/10.2136/sssaj2016.08.0269,1,49.63,-112.8,2014.0,Temperate upland annual cropland,Canada – Northern European/Canadian temperate arable,Oilseed Radish,non-legume,Spring Wheat,,,,,,,,t,,,,0.5299999999999999,0.19999999999999998,,,g N ha–1 d–1,yes,100,kg total N ha–1 manure,,,,,,,Canada,Trail,,Agriculture and Agri-Food Canada Lethbridge Research and Development Centre near Lethbridge,929.0,Clay Loam,929.0,5.9,,,,2014-08-15,,,2.0,yes (irrigate),,7.8 kg seed ha–1 ,,0.04,4.0,,,,,,fall-spring,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,69,17,"Kim, G.W., Das, S., Hwang, H.Y. and Kim, P.J., 2017. Nitrous oxide emissions from soils amended by cover-crops and under plastic film mulching: fluxes, emission factors and yield-scaled emissions. Atmospheric Environment, 152, pp.377-388.",https://doi.org/10.1016/j.atmosenv.2017.01.007,1,36.83,128.43,2013.0,Temperate upland annual cropland,South Korea upland corn rotation (temperate),Barley & Hairy Vetch,mixture,Corn,,,,,,,,,,,,4.3,0.56,,,kg N2O-N ha−1 Cumulative,no,NoFer,,,,,,,y,South Korea,Trail,,upland farms of the Gyeongsang National University Experimental plots,,Silt Loam,,,,legume + non-legume,1/3,2012-10-15,2013-06-15,,,,broadcasted,,"harvested, manually chopped (5 cm long) and returned to the fields ",0.01,3.0,2013-05-25,,,,,,3,0.01,non film mulching,,,4.2 g kg⁻¹,1.3 g kg⁻¹,,sub-surface irrigation,,,,,,30.3 μg g soil−1,,,,,,,,0.25,,,,,,,
49,70,17,"Kim, G.W., Das, S., Hwang, H.Y. and Kim, P.J., 2017. Nitrous oxide emissions from soils amended by cover-crops and under plastic film mulching: fluxes, emission factors and yield-scaled emissions. Atmospheric Environment, 152, pp.377-388.",https://doi.org/10.1016/j.atmosenv.2017.01.007,1,36.83,128.43,2013.0,Temperate upland annual cropland,South Korea upland corn rotation (temperate),Barley & Hairy Vetch,mixture,Corn,,,,,,,,,,,,5.62,0.67,,,kg N2O-N ha−1 Cumulative,no,NoFer,,,,,,,y,South Korea,Trail,,upland farms of the Gyeongsang National University Experimental plots,,Silt Loam,,,,legume + non-legume,1/3,2012-10-15,2013-06-15,,,,broadcasted,,"harvested, manually chopped (5 cm long) and returned to the fields ",0.01,3.0,2013-05-25,,,,,,3,0.01,plastic film mulching,,,4.2 g kg⁻¹,1.3 g kg⁻¹,,furrow irrigation,,,,,,48.99631676 μg g soil−1,,,,,,,,0.5,,,,,,,
50,71,17,"Kim, G.W., Das, S., Hwang, H.Y. and Kim, P.J., 2017. Nitrous oxide emissions from soils amended by cover-crops and under plastic film mulching: fluxes, emission factors and yield-scaled emissions. Atmospheric Environment, 152, pp.377-388.",https://doi.org/10.1016/j.atmosenv.2017.01.007,1,36.83,128.43,2014.0,Temperate upland annual cropland,South Korea upland corn rotation (temperate),Barley & Hairy Vetch,mixture,Corn,,,,,,,,,,,,4.22,0.76,,,kg N2O-N ha−1 Cumulative,no,NoFer,,,,,,,y,South Korea,Trail,,upland farms of the Gyeongsang National University Experimental plots,,Silt Loam,,,,legume + non-legume,1/3,2013-10-15,2014-06-15,,,,broadcasted,,"harvested, manually chopped (5 cm long) and returned to the fields ",0.01,3.0,2014-05-25,,,,,,3,0.01,non film mulching,,,4.2 g kg⁻¹,1.3 g kg⁻¹,,sub-surface irrigation,,,,,,30.3 μg g soil−1,,,,,,,,0.25,,,,,,,
51,72,17,"Kim, G.W., Das, S., Hwang, H.Y. and Kim, P.J., 2017. Nitrous oxide emissions from soils amended by cover-crops and under plastic film mulching: fluxes, emission factors and yield-scaled emissions. Atmospheric Environment, 152, pp.377-388.",https://doi.org/10.1016/j.atmosenv.2017.01.007,1,36.83,128.43,2014.0,Temperate upland annual cropland,South Korea upland corn rotation (temperate),Barley & Hairy Vetch,mixture,Corn,,,,,,,,,,,,5.33,0.88,,,kg N2O-N ha−1 Cumulative,no,NoFer,,,,,,,y,South Korea,Trail,,upland farms of the Gyeongsang National University Experimental plots,,Silt Loam,,,,legume + non-legume,1/3,2013-10-15,2014-06-15,,,,broadcasted,,"harvested, manually chopped (5 cm long) and returned to the fields ",0.01,3.0,2014-05-25,,,,,,3,0.01,plastic film mulching,,,4.2 g kg⁻¹,1.3 g kg⁻¹,,furrow irrigation,,,,,,48.99631676 μg g soil−1,,,,,,,,0.5,,,,,,,
52,73,20,"Pramanik, P., Haque, M.M., Kim, S.Y. and Kim, P.J., 2014. C and N accumulations in soil aggregates determine nitrous oxide emissions from cover crop treated rice paddy soils during fallow season. Science of the total environment, 490, pp.622-628.",https://doi.org/10.1016/j.scitotenv.2014.05.046,1,36.83,128.43,,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",South Korea paddy rice system,Barley & Hairy Vetch,mixture,Rice (Flooded),PADDY/FLOODED,,,,,,,,,,,9.7,11.0,,,,yes,90,kg N ha-1,400.0,200.0,,,,,South Korea,,,,,,,,,legume + non-legume,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
