id,src_id,paper_id,paper_citation_APA,paper_doi,study_source,latitude,longitude,year,cropping_system_category,cropping_system_classification,CC_species,CC_types,cash_crop_specices,cash_crop_specices2,co2_cc,co2_cc_sd,co2_no_cc,co2_no_cc_sd,co2_n,co2_unit,tillage,residue_management,SOC_initial,SOC_initial_Unit,n2o_cc,n2o_no_cc,n2o_cc_sd,n2o_no_cc_sd,n2o_unit,FerStatus,N_fertilization,N_fertilization_unit,ch4_cc,ch4_no_cc,ch4_cc_sd,ch4_no_cc_sd,ch4_unit,duplicated_src,country,Trail/Commercial,region_state,specific_location,alt_m,soil_texture,prep,tem,dryland/non dryland,mixture_types,mixture_propotion,CC_plant_date,CC_end_date,CC.days,CC.duration,CC.aid,CC_plant_type,CC_plant_rate,CC_end_type,Plot_Area_ha,replications,nextMC_plant_date,MC_end_date,MC.days,MC _history,cash_crop_type,GHG-season,samplesize,SD,management combination,Initial_SOC,Initial_C_unit,Initial_TC,Initial_TN,Unnamed: 73,irrigation,irrigation_mm,BD,BD_unit,CEC,pH,soil_no3,soil_no3_unit,soil_nh4,soil_nh4_unit,soilTexture,TopographicalPosition,soilMoisture,soilMoisture_unite,WFPS,soilTem,cc_Dry_Biomass,ccBiomass_raw,CN_ratio,ccResidualsInput,cash_crop_season,manul checked & revised
103,26,34,"Iqbal, J., Mitchell, D.C., Barker, D.W., Miguez, F., Sawyer, J.E., Pantoja, J. and Castellano, M.J., 2015. Does nitrogen fertilizer application rate to corn affect nitrous oxide emissions from the rotated soybean crop?. Journal of environmental quality, 44(3), pp.711-719.",https://doi.org/10.2134/jeq2014.09.0378,2,42.02,-93.77,2012.0,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Rye,non-legume,Soybean,,,,,,,,,,,,0.09038,0.07974,,,,no,,,,,,,,"y (2,3)",USA,,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
120,43,22,"Dietzel, R., Wolfe, D. and Thies, J.E., 2011. The influence of winter soil cover on spring nitrous oxide emissions from an agricultural soil. Soil Biology and Biochemistry, 43(9), pp.1989-1991.",https://doi.org/10.1016/j.soilbio.2011.05.017,2,42.7333,-76.6597,,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Rye,non-legume,NR,,,,,,,,,,,,4.104,10.9728,18.68,61.09,,,,,,,,,,,USA,,NewYork,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,sub-surface irrigation,,,,,,,,,,,,,,,,,,,,y
121,44,22,"Dietzel, R., Wolfe, D. and Thies, J.E., 2011. The influence of winter soil cover on spring nitrous oxide emissions from an agricultural soil. Soil Biology and Biochemistry, 43(9), pp.1989-1991.",https://doi.org/10.1016/j.soilbio.2011.05.017,2,42.7333,-76.6597,,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Rye,non-legume,NR,,,,,,,,,,,,11.9016,6.264,54.2,61.31,,,,,,,,,,,USA,,NewYork,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
122,45,8,"Epie, K.E., Saikkonen, L., Santanen, A., Jaakkola, S., Mäkelä, P., Simojoki, A. and Stoddard, F.L., 2015. Nitrous oxide emissions from perennial grass–legume intercrop for bioenergy use. Nutrient cycling in Agroecosystems, 101(2), pp.211-222.",https://doi.org/10.1007/s10705-015-9670-0,2,60.225,25.02,,Perennial horticultural cropland (Orchard/Vineyard),cash crop = Perennial Crop,Galega,legume,Perennial Crop,,,,,,,,,,,,2.65,6.65,,,,no,,,,,,,,,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,annual mean,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
123,46,8,"Epie, K.E., Saikkonen, L., Santanen, A., Jaakkola, S., Mäkelä, P., Simojoki, A. and Stoddard, F.L., 2015. Nitrous oxide emissions from perennial grass–legume intercrop for bioenergy use. Nutrient cycling in Agroecosystems, 101(2), pp.211-222.",https://doi.org/10.1007/s10705-015-9670-0,2,60.225,25.02,,Perennial horticultural cropland (Orchard/Vineyard),cash crop = Perennial Crop,Mixture,mixture,Perennial Crop,,,,,,,,,,,,3.45,6.65,,,,,,,,,,,,,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,annual mean,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
124,47,8,"Epie, K.E., Saikkonen, L., Santanen, A., Jaakkola, S., Mäkelä, P., Simojoki, A. and Stoddard, F.L., 2015. Nitrous oxide emissions from perennial grass–legume intercrop for bioenergy use. Nutrient cycling in Agroecosystems, 101(2), pp.211-222.",https://doi.org/10.1007/s10705-015-9670-0,2,60.225,25.02,,Perennial horticultural cropland (Orchard/Vineyard),cash crop = Perennial Crop,Reed canary grass,non-legume,Perennial Crop,,,,,,,,,,,,3.0,6.65,,,,,,,,,,,,,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,annual mean,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
192,96,10,"Haque, M.M., Kim, S.Y., Ali, M.A., & Kim, P.J. (2015). Contribution of greenhouse gas emissions during cropping and fallow seasons on total global warming potential in mono-rice paddy soils. Plant Soil, 387, 251-264.",https://doi.org/10.1007/s11104-014-2287-2,3,36.833333,128.433333,2021.0,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",South Korea paddy rice system,Barley & Hairy Vetch,mixture,Paddy Rice (Fallow Season),PADDY/FLOODED,5.47,,2.99,,,mg m-2 day-1,ct,incorporated,20.4,g/kg (low),2.81,1.5,,,mg m-2 day-1,yes,45, kg N ha−1,-1.22,-0.56,,,mg m-2 day-1,,South Korea,Trail,Gyeongsang ,Gyeongsang National University Experimental Farm Jinju,,Silt Loam,,,,legume + non-legume,3/1,,2011-05-29,,1.0,,,,,0.054,3.0,2011-06-05,2011-10-01 00:00:00,118.0,,,Oct-Jun,3,0.01,NPK,20.4,g/kg (low),,,,,,,,,6.2,,,,,,,,,,,,36 Mg/ha,,,,y
193,98,10,"Haque, M.M., Kim, S.Y., Ali, M.A., & Kim, P.J. (2015). Contribution of greenhouse gas emissions during cropping and fallow seasons on total global warming potential in mono-rice paddy soils. Plant Soil, 387, 251-264.",https://doi.org/10.1007/s11104-014-2287-2,3,36.833333,128.433333,2021.0,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",South Korea paddy rice system,Barley & Hairy Vetch,mixture,Paddy Rice (Cropping Season),PADDY/FLOODED,9.6,,1.69,,,mg m-2 day-1,ct,incorporated,20.4,g/kg (low),0.98,0.75,,,mg m-2 day-1,yes,45, kg N ha−1,1311.0,142.0,,,mg m-2 day-1,,South Korea,Trail,Gyeongsang ,Gyeongsang National University Experimental Farm Jinju,,Silt Loam,,,,legume + non-legume,3/1,,2011-05-29,,1.0,,,,,0.054,3.0,2011-06-05,2011-10-01 00:00:00,118.0,,,Jun-Oct,3,0.01,NPK,20.4,g/kg (low),,,,,,,,,6.2,,,,,,,,,,,,36 Mg/ha,,,,y
194,100,10,"Haque, M.M., Kim, S.Y., Ali, M.A., & Kim, P.J. (2015). Contribution of greenhouse gas emissions during cropping and fallow seasons on total global warming potential in mono-rice paddy soils. Plant Soil, 387, 251-264.",https://doi.org/10.1007/s11104-014-2287-2,3,36.833333,128.433333,2022.0,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",South Korea paddy rice system,Barley & Hairy Vetch,mixture,Paddy Rice (Cropping Season),PADDY/FLOODED,6.47,,3.42,,,mg m-2 day-1,ct,incorporated,20.4,g/kg (low),2.5,1.6,,,mg m-2 day-1,yes,45, kg N ha−1,-1.26,-0.57,,,mg m-2 day-1,,South Korea,Trail,Gyeongsang ,Gyeongsang National University Experimental Farm Jinju,,Silt Loam,,,,legume + non-legume,3/1,,2011-05-26,,2.0,,,,,0.054,3.0,2012-06-03,2012-10-01 00:00:00,120.0,,,Oct-Jun,3,0.01,NPK,20.4,g/kg (low),,,,,,,,,6.2,,,,,,,,,,,,36 Mg/ha,,,,y
195,102,10,"Haque, M.M., Kim, S.Y., Ali, M.A., & Kim, P.J. (2015). Contribution of greenhouse gas emissions during cropping and fallow seasons on total global warming potential in mono-rice paddy soils. Plant Soil, 387, 251-264.",https://doi.org/10.1007/s11104-014-2287-2,3,36.833333,128.433333,2022.0,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",South Korea paddy rice system,Barley & Hairy Vetch,mixture,Paddy Rice (Fallow Season),,8.71,,1.4,,,mg m-2 day-1,ct,incorporated,20.4,g/kg (low),0.99,0.76,,,mg m-2 day-1,yes,45, kg N ha−1,1203.0,137.0,,,mg m-2 day-1,,South Korea,Trail,Gyeongsang ,Gyeongsang National University Experimental Farm Jinju,,Silt Loam,,,,legume + non-legume,3/1,,2011-05-26,,2.0,,,,,0.054,3.0,2012-06-03,2012-10-01 00:00:00,120.0,,,Jun-Oct,3,0.01,NPK,20.4,g/kg (low),,,,,,,,,6.2,,,,,,,,,,,,36 Mg/ha,,,,y
209,134,6,"Sapkota, T.B., Shankar, V., Rai, M., Jat, M.L., Stirling, C.M, Singh, L.K., … Grewal, M.S. (2017). Reducing global warming potential through sustainable intensification of basmati rice-wheat systems in India. Sustainability, 9, 1044.",http://doi.org/10.3390/su9061044,3,29.809722,76.921111,,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",India paddy rice system,Green Gram,legume,Rice,,,,,,,,,,,,2.2,2.2,1.14315,0.39837,,,,,,,,,,,India,,Karnal,Taraori,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
210,136,6,"Sapkota, T.B., Shankar, V., Rai, M., Jat, M.L., Stirling, C.M, Singh, L.K., … Grewal, M.S. (2017). Reducing global warming potential through sustainable intensification of basmati rice-wheat systems in India. Sustainability, 9, 1044.",http://doi.org/10.3390/su9061044,3,29.809722,76.921111,,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",India paddy rice system,Green Gram,legume,Rice,,,,,,,,,,,,1.52,2.45,0.46765,0.0,,,,,,,,,,,India,,Karnal,Taraori,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
211,138,6,"Sapkota, T.B., Shankar, V., Rai, M., Jat, M.L., Stirling, C.M, Singh, L.K., … Grewal, M.S. (2017). Reducing global warming potential through sustainable intensification of basmati rice-wheat systems in India. Sustainability, 9, 1044.",http://doi.org/10.3390/su9061044,3,29.809722,76.921111,,"Flooded paddy cropland (tropical–subtropical, Oryza sativa L. double/single season)",India paddy rice system,Green Gram,legume,Rice,,,,,,,,,,,,3.67,2.31,1.87061,1.83597,,,,,,,,,,,India,,Karnal,Taraori,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
212,140,6,"Sapkota, T.B., Shankar, V., Rai, M., Jat, M.L., Stirling, C.M, Singh, L.K., … Grewal, M.S. (2017). Reducing global warming potential through sustainable intensification of basmati rice-wheat systems in India. Sustainability, 9, 1044.",http://doi.org/10.3390/su9061044,3,29.809722,76.921111,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Green Gram,Green Gram,legume,Wheat,,,,,,,,,,,,4.23,2.64,1.36832,0.17321,,,,,,,,,,,India,,Karnal,Taraori,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
213,142,6,"Sapkota, T.B., Shankar, V., Rai, M., Jat, M.L., Stirling, C.M, Singh, L.K., … Grewal, M.S. (2017). Reducing global warming potential through sustainable intensification of basmati rice-wheat systems in India. Sustainability, 9, 1044.",http://doi.org/10.3390/su9061044,3,29.809722,76.921111,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Green Gram,Green Gram,legume,Wheat,,,,,,,,,,,,3.26,4.37,0.69282,1.351,,,,,,,,,,,India,,Karnal,Taraori,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
214,144,6,"Sapkota, T.B., Shankar, V., Rai, M., Jat, M.L., Stirling, C.M, Singh, L.K., … Grewal, M.S. (2017). Reducing global warming potential through sustainable intensification of basmati rice-wheat systems in India. Sustainability, 9, 1044.",http://doi.org/10.3390/su9061044,3,29.809722,76.921111,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Green Gram,Green Gram,legume,Wheat,,,,,,,,,,,,3.15,4.53,0.96995,1.4376,,,,,,,,,,,India,,Karnal,Taraori,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
251,202,35,"Wegner, B.R., Chalise, K.S., Signh, S., Lai, L., Abagandura, G.O., Kumar, S., … & Jagadamma, S. (2018). Response of soil surface greenhouse gas fluxes to crop residue removal and cover crops under a corn-soybean rotation. Journal of Environmental Quality, 47, 1146-1154.",https://doi.org/10.2134/jeq2018.03.0093,3,44.314333,-96.75283,,Temperate upland annual cropland,USA temperate arable (corn-soybean-wheat belt),Rye + Hairy Vetch,mixture,Corn,UPLAND/DRYLAND,2781.0,111,3080.0,215.0,,,nt,not incorporated,28.0,g/kg,694.0,815.0,74.0,163.0,cumulated g ha−1,yes,145,kg N ha⁻¹,218.7,266.0,158.0,133.0,,y,USA,,South Dakota,Brookings,,,,,,legume + non-legume,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,31.575,,26.85,,,,12.649999999999999,,,21.375,,,,,,y
268,224,11,"Weiler, D.A., Giacomini, S.J., Recous, S., Bastos, L.M.,  Pilecco, G.E.,  Dietrich, G., Aita, C. (2018). Trade-off between C and N recycling and N2O emissions of soils with summer cover crops in subtropical agrosystems. Plant Soil, 433, 213-225.",https://doi.org/10.1007/s11104-018-3831-2,3,-29.683333,-53.8,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Velvet Bean,Velvet Bean,legume,Black Oats,,,,,,,,,,,,0.79,1.01,0.06,0.07,,no,,,,,,,,y,Brazil,,Rio Grande Do Sul,Santa Maria,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
269,225,11,"Weiler, D.A., Giacomini, S.J., Recous, S., Bastos, L.M.,  Pilecco, G.E.,  Dietrich, G., Aita, C. (2018). Trade-off between C and N recycling and N2O emissions of soils with summer cover crops in subtropical agrosystems. Plant Soil, 433, 213-225.",https://doi.org/10.1007/s11104-018-3831-2,3,-29.683333,-53.8,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Pearl Millet,Pearl Millet,non-legume,Black Oats,,,,,,,,,,,,1.05,1.01,0.2,0.07,,,,,,,,,,y,Brazil,,Rio Grande Do Sul,Santa Maria,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
270,226,11,"Weiler, D.A., Giacomini, S.J., Recous, S., Bastos, L.M.,  Pilecco, G.E.,  Dietrich, G., Aita, C. (2018). Trade-off between C and N recycling and N2O emissions of soils with summer cover crops in subtropical agrosystems. Plant Soil, 433, 213-225.",https://doi.org/10.1007/s11104-018-3831-2,3,-29.683333,-53.8,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Dwarf Pigeonpea,Dwarf Pigeonpea,legume,Black Oats,,,,,,,,,,,,1.01,1.01,0.07,0.07,,no,,,,,,,,y,Brazil,,Rio Grande Do Sul,Santa Maria,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
271,227,11,"Weiler, D.A., Giacomini, S.J., Recous, S., Bastos, L.M.,  Pilecco, G.E.,  Dietrich, G., Aita, C. (2018). Trade-off between C and N recycling and N2O emissions of soils with summer cover crops in subtropical agrosystems. Plant Soil, 433, 213-225.",https://doi.org/10.1007/s11104-018-3831-2,3,-29.683333,-53.8,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Sunn Hemp,Sunn Hemp,legume,Black Oats,,,,,,,,,,,,0.89,1.01,0.08,0.07,,no,,,,,,,,y,Brazil,,Rio Grande Do Sul,Santa Maria,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
272,228,11,"Weiler, D.A., Giacomini, S.J., Recous, S., Bastos, L.M.,  Pilecco, G.E.,  Dietrich, G., Aita, C. (2018). Trade-off between C and N recycling and N2O emissions of soils with summer cover crops in subtropical agrosystems. Plant Soil, 433, 213-225.",https://doi.org/10.1007/s11104-018-3831-2,3,-29.683333,-53.8,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Showy Rattlebox,Showy Rattlebox,legume,Black Oats,,,,,,,,,,,,1.38,1.01,0.35,0.07,,no,,,,,,,,y,Brazil,,Rio Grande Do Sul,Santa Maria,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
273,229,11,"Weiler, D.A., Giacomini, S.J., Recous, S., Bastos, L.M.,  Pilecco, G.E.,  Dietrich, G., Aita, C. (2018). Trade-off between C and N recycling and N2O emissions of soils with summer cover crops in subtropical agrosystems. Plant Soil, 433, 213-225.",https://doi.org/10.1007/s11104-018-3831-2,3,-29.683333,-53.8,,Tropical upland annual/perennial cropland (Plantation/Tropical),tropical CC species: Jack Bean,Jack Bean,legume,Black Oats,,,,,,,,,,,,1.1,1.01,0.05,0.07,,no,,,,,,,,y,Brazil,,Rio Grande Do Sul,Santa Maria,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
326,428,2,"Li, X., Petersen, S. O., Sørensen, P., & Olesen, J.E. (2015). Effects of contrasting catch crops on nitrogen availability and nitrous oxide emissions in an organic cropping system. Agriculture, Ecosystems and Environment, 199, 382-393.",http://doi.org/10.1016/j.agee.2014.10.016,4,56.5,9.567,,Temperate upland annual cropland,Denmark – Northern European/Canadian temperate arable,,legume,Spring Barley,,,,,,,,,,,,0.2389,0.088,0.0859,0.0316,,no,,,,,,,,y,Denmark,,Aarhus,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
